actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
0.0,0.0,L,37.5738056897,2016-08-22 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,7,-2.72133420011
0.0,,L,91.975166705,2016-09-05 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,8,-2.93336285831
1.0,1.0,L,85.4922279793,2016-09-27 00:00:00,1042550,cqrqmy,重庆芮齐贸易有限公司,11,-0.622051725674
1.0,1.0,L,100.0,2016-07-13 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,6,100.0
1.0,1.0,L,23.5294117647,2016-07-26 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,7,-2.69921764355
1.0,1.0,L,98.4009840098,2016-08-02 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,8,6.11874557171
0.66666666666666663,1.0,L,27.5373721479,2016-08-22 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,7,-1.51854756528
1.0,1.0,L,42.9818670248,2016-09-05 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,8,7.73553032622
1.0,1.0,L,32.7868852459,2016-10-12 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,6,13.1480387686
0.0,,L,17.9331988343,2016-10-18 00:00:00,1042561,cqrqmy,重庆芮齐贸易有限公司,8,23.6642022204
0.0,,C,15.1367715429,2016-09-06 00:00:00,1068578,bjjktc,北京家酷天成商贸有限公司,14,10.2339965131
0.70588235294117652,1.0,C,35.8009048503,2016-09-12 00:00:00,1068578,bjjktc,北京家酷天成商贸有限公司,12,12.0040693192
0.89552238805970152,0.89552238805970152,C,41.8163146039,2016-10-08 00:00:00,1068578,bjjktc,北京家酷天成商贸有限公司,11,2.68223384953
1.0,1.0,C,40.8354225678,2016-10-13 00:00:00,1068578,bjjktc,北京家酷天成商贸有限公司,22,6.77590219828
0.92307692307692313,1.0,D,41.0864197531,2016-08-02 00:00:00,1068586,bjjktc,北京家酷天成商贸有限公司,8,-0.372484391606
0.88888888888888884,1.0,D,26.4021239042,2016-08-19 00:00:00,1068586,bjjktc,北京家酷天成商贸有限公司,10,7.51983870089
1.0,1.0,D,6.98011249615,2016-09-21 00:00:00,1068586,bjjktc,北京家酷天成商贸有限公司,12,10.9168121431
