org_from,org_to,actiontime_max,alt_max,alt_cnt
3,545,2016-06-14,1,13
3,545,2016-06-14,2,315
3,545,2016-06-14,3,9
3,545,2016-06-15,1,1
3,545,2016-06-15,2,348
3,545,2016-06-15,3,1
3,545,2016-06-16,2,263
3,545,2016-06-16,3,56
3,545,2016-06-17,1,29
3,545,2016-06-17,2,119
3,545,2016-06-17,3,55
3,545,2016-06-17,4,82
3,545,2016-06-18,1,1
3,545,2016-06-18,2,245
3,545,2016-06-18,3,156
3,545,2016-06-18,4,1
3,545,2016-06-19,3,127
3,545,2016-06-19,4,110
3,545,2016-06-19,5,15
3,545,2016-06-20,4,29
3,545,2016-06-20,5,16
3,545,2016-06-20,6,5
3,545,2016-06-21,7,1
3,545,2016-06-22,2,251
3,545,2016-06-23,1,11
3,545,2016-06-23,2,130
3,545,2016-06-23,3,176
3,545,2016-06-24,2,282
3,545,2016-06-24,3,149
3,545,2016-06-24,4,107
3,545,2016-06-25,1,4
3,545,2016-06-25,2,191
3,545,2016-06-25,3,210
3,545,2016-06-25,4,8
3,545,2016-06-25,5,6
3,545,2016-06-26,1,15
3,545,2016-06-26,2,155
3,545,2016-06-26,3,35
3,545,2016-06-26,4,19
3,545,2016-06-26,5,9
3,545,2016-06-26,6,6
3,545,2016-06-27,2,155
3,545,2016-06-27,3,22
3,545,2016-06-28,1,7
3,545,2016-06-28,2,160
3,545,2016-06-28,4,6
3,545,2016-06-29,2,144
3,545,2016-06-30,2,87
3,545,2016-07-01,2,289
3,545,2016-07-01,3,1
3,545,2016-07-02,2,169
3,545,2016-07-03,2,222
3,545,2016-07-04,1,1
3,545,2016-07-04,2,171
3,545,2016-07-05,1,3
3,545,2016-07-05,2,165
3,545,2016-07-05,3,4
3,545,2016-07-06,2,149
3,545,2016-07-07,1,4
3,545,2016-07-07,2,165
3,545,2016-07-08,2,186
3,545,2016-07-09,1,3
3,545,2016-07-09,2,171
3,545,2016-07-09,3,1
3,545,2016-07-10,1,7
3,545,2016-07-10,2,182
3,545,2016-07-10,3,4
3,545,2016-07-11,2,180
3,545,2016-07-12,2,187
3,545,2016-07-13,2,175
3,545,2016-07-14,2,196
3,545,2016-07-15,2,210
3,545,2016-07-15,3,2
3,545,2016-07-16,2,187
3,545,2016-07-16,3,5
3,545,2016-07-17,1,6
3,545,2016-07-17,2,218
3,545,2016-07-17,3,1
3,545,2016-07-18,2,206
3,545,2016-07-19,2,225
3,545,2016-07-20,1,1
3,545,2016-07-20,2,218
3,545,2016-07-21,2,235
3,545,2016-07-22,1,6
3,545,2016-07-22,2,253
3,545,2016-07-23,2,239
3,545,2016-07-24,2,243
3,545,2016-07-24,3,26
3,545,2016-07-25,1,1
3,545,2016-07-25,2,195
3,545,2016-07-26,1,2
3,545,2016-07-26,2,158
3,545,2016-07-26,3,82
3,545,2016-07-27,1,1
3,545,2016-07-27,2,190
3,545,2016-07-27,3,59
3,545,2016-07-28,2,228
3,545,2016-07-29,2,225
3,545,2016-07-29,3,3
3,545,2016-07-30,2,234
3,545,2016-07-30,3,32
3,545,2016-07-31,2,177
3,545,2016-07-31,3,57
3,545,2016-08-01,2,219
3,545,2016-08-01,3,101
3,545,2016-08-01,4,1
3,545,2016-08-02,2,209
3,545,2016-08-02,3,40
3,545,2016-08-03,2,188
3,545,2016-08-03,3,14
3,545,2016-08-04,2,188
3,545,2016-08-04,3,30
3,545,2016-08-04,5,1
3,545,2016-08-05,2,198
3,545,2016-08-05,3,51
3,545,2016-08-05,5,5
3,545,2016-08-06,2,182
3,545,2016-08-06,3,35
3,545,2016-08-06,4,1
3,545,2016-08-07,2,212
3,545,2016-08-07,3,35
3,545,2016-08-08,2,199
3,545,2016-08-08,3,45
3,545,2016-08-08,4,2
3,545,2016-08-09,2,177
3,545,2016-08-09,3,35
3,545,2016-08-10,1,7
3,545,2016-08-10,2,174
3,545,2016-08-10,3,59
3,545,2016-08-11,2,177
3,545,2016-08-11,3,120
3,545,2016-08-11,4,2
3,545,2016-08-12,2,288
3,545,2016-08-12,3,80
3,545,2016-08-13,2,165
3,545,2016-08-13,3,22
3,545,2016-08-14,2,149
3,545,2016-08-14,3,292
3,545,2016-08-14,4,57
3,545,2016-08-15,2,26
3,545,2016-08-15,3,212
3,545,2016-08-15,4,123
3,545,2016-08-15,5,18
3,545,2016-08-16,2,85
3,545,2016-08-16,3,138
3,545,2016-08-16,4,120
3,545,2016-08-16,5,70
3,545,2016-08-16,6,10
3,545,2016-08-17,2,52
3,545,2016-08-17,3,252
3,545,2016-08-17,4,124
3,545,2016-08-17,5,105
3,545,2016-08-17,6,41
3,545,2016-08-17,7,2
3,545,2016-08-18,1,22
3,545,2016-08-18,2,80
3,545,2016-08-18,3,70
3,545,2016-08-18,4,156
3,545,2016-08-18,5,16
3,545,2016-08-18,6,24
3,545,2016-08-18,7,15
3,545,2016-08-18,8,1
3,545,2016-08-19,2,182
3,545,2016-08-19,3,82
3,545,2016-08-19,4,45
3,545,2016-08-19,5,93
3,545,2016-08-19,6,25
3,545,2016-08-19,7,41
3,545,2016-08-19,8,21
3,545,2016-08-19,9,3
3,545,2016-08-20,2,95
3,545,2016-08-20,3,112
3,545,2016-08-20,4,14
3,545,2016-08-20,5,6
3,545,2016-08-20,6,5
3,545,2016-08-20,7,2
3,545,2016-08-20,8,2
3,545,2016-08-21,3,159
3,545,2016-08-24,1,1
3,545,2016-09-07,1,1
3,545,2016-09-08,2,107
3,545,2016-09-09,2,47
3,545,2016-09-09,3,231
3,545,2016-09-10,1,3
3,545,2016-09-10,2,106
3,545,2016-09-10,3,18
3,545,2016-09-10,4,81
3,545,2016-09-11,2,31
3,545,2016-09-11,3,38
3,545,2016-09-12,2,195
3,545,2016-09-12,3,1
3,545,2016-09-13,2,154
3,545,2016-09-13,3,19
3,545,2016-09-14,2,163
3,545,2016-09-14,3,52
3,545,2016-09-15,1,1
3,545,2016-09-15,2,94
3,545,2016-09-15,3,121
3,545,2016-09-15,4,32
3,545,2016-09-16,2,181
3,545,2016-09-16,3,88
3,545,2016-09-16,4,33
3,545,2016-09-16,5,24
3,545,2016-09-17,2,160
3,545,2016-09-17,3,60
3,545,2016-09-17,4,3
3,545,2016-09-18,2,158
3,545,2016-09-18,3,44
3,545,2016-09-18,4,8
3,545,2016-09-18,5,2
3,545,2016-09-19,2,182
3,545,2016-09-19,3,63
3,545,2016-09-20,2,266
3,545,2016-09-20,3,1
3,545,2016-09-21,2,238
3,545,2016-09-21,3,49
3,545,2016-09-22,2,220
3,545,2016-09-22,3,6
3,545,2016-09-23,2,229
3,545,2016-09-23,3,50
3,545,2016-09-24,1,1
3,545,2016-09-24,2,244
3,545,2016-09-24,3,13
3,545,2016-09-25,1,7
3,545,2016-09-25,2,234
3,545,2016-09-25,3,79
3,545,2016-09-26,2,187
3,545,2016-09-26,3,24
3,545,2016-09-27,2,191
3,545,2016-09-27,3,57
3,545,2016-09-28,2,209
3,545,2016-09-28,3,18
3,545,2016-09-28,4,4
3,545,2016-09-29,2,222
3,545,2016-09-29,3,2
3,545,2016-09-30,2,193
3,545,2016-09-30,3,10
3,545,2016-10-01,2,188
3,545,2016-10-01,3,54
3,545,2016-10-01,4,3
3,545,2016-10-02,2,216
3,545,2016-10-02,3,58
3,545,2016-10-02,4,18
3,545,2016-10-03,2,235
3,545,2016-10-04,2,204
3,545,2016-10-05,1,1
3,545,2016-10-05,2,193
3,545,2016-10-06,1,16
3,545,2016-10-06,2,328
3,545,2016-10-07,1,9
3,545,2016-10-07,2,176
3,545,2016-10-08,2,262
3,545,2016-10-09,2,257
3,545,2016-10-10,2,338
3,545,2016-10-11,1,3
3,545,2016-10-11,2,321
3,545,2016-10-11,3,1
3,545,2016-10-12,2,322
3,545,2016-10-12,3,198
3,545,2016-10-12,4,10
3,545,2016-10-13,1,8
3,545,2016-10-13,2,237
3,545,2016-10-13,3,27
3,545,2016-10-14,2,264
3,545,2016-10-15,2,302
3,545,2016-10-16,2,276
3,545,2016-10-16,3,4
3,545,2016-10-17,2,289
3,545,2016-10-17,5,1
3,545,2016-10-18,2,220
3,545,2016-10-19,1,1
3,545,2016-10-19,2,237
3,545,2016-10-20,2,215
3,545,2016-10-21,2,122
3,545,2016-10-22,2,238
3,545,2016-10-22,3,129
3,545,2016-10-22,4,8
3,545,2016-10-23,1,1
3,545,2016-10-23,2,277
3,545,2016-10-24,2,305
3,545,2016-10-24,3,2
3,545,2016-10-25,2,253
3,545,2016-10-25,3,50
3,545,2016-10-26,2,193
3,545,2016-10-26,3,99
3,545,2016-10-27,2,230
3,545,2016-10-27,3,69
3,545,2016-10-28,1,2
3,545,2016-10-28,2,230
3,545,2016-10-28,3,114
3,545,2016-10-29,1,1
3,545,2016-10-29,2,224
3,545,2016-10-29,3,46
3,545,2016-10-30,2,161
3,545,2016-10-30,3,161
3,545,2016-10-30,4,16
3,545,2016-10-31,2,175
3,545,2016-10-31,3,105
3,545,2016-10-31,4,37
3,545,2016-11-01,1,1
3,545,2016-11-01,2,120
3,545,2016-11-01,3,179
3,545,2016-11-01,4,30
3,545,2016-11-01,5,11
3,631,\N,\N,177
3,631,2016-06-02,1,206
3,631,2016-06-03,1,194
3,631,2016-06-03,2,25
3,631,2016-06-04,1,209
3,631,2016-06-04,2,5
3,631,2016-06-05,1,198
3,631,2016-06-05,2,7
3,631,2016-06-06,1,229
3,631,2016-06-06,2,7
3,631,2016-06-07,1,197
3,631,2016-06-08,1,206
3,631,2016-06-08,2,1
3,631,2016-06-09,1,187
3,631,2016-06-10,1,180
3,631,2016-06-10,2,8
3,631,2016-06-11,1,168
3,631,2016-06-11,2,7
3,631,2016-06-12,1,220
3,631,2016-06-12,2,10
3,631,2016-06-13,1,231
3,631,2016-06-13,2,6
3,631,2016-06-14,1,234
3,631,2016-06-14,2,7
3,631,2016-06-15,1,186
3,631,2016-06-15,2,28
3,631,2016-06-16,1,157
3,631,2016-06-17,1,193
3,631,2016-06-17,2,13
3,631,2016-06-18,2,15
3,631,2016-06-19,3,15
3,631,2016-06-21,1,173
3,631,2016-06-22,1,155
3,631,2016-06-23,1,156
3,631,2016-06-24,1,254
3,631,2016-06-25,1,141
3,631,2016-06-26,1,170
3,631,2016-06-26,2,20
3,631,2016-06-26,3,3
3,631,2016-06-27,1,121
3,631,2016-06-27,2,1
3,631,2016-06-28,1,106
3,631,2016-06-28,2,3
3,631,2016-06-29,1,68
3,631,2016-06-30,1,190
3,631,2016-06-30,2,1
3,631,2016-07-01,1,121
3,631,2016-07-01,2,6
3,631,2016-07-02,1,126
3,631,2016-07-02,4,1
3,631,2016-07-03,1,109
3,631,2016-07-03,2,13
3,631,2016-07-04,1,102
3,631,2016-07-05,1,108
3,631,2016-07-06,1,118
3,631,2016-07-06,2,3
3,631,2016-07-07,1,105
3,631,2016-07-07,2,18
3,631,2016-07-08,1,145
3,631,2016-07-08,2,23
3,631,2016-07-09,1,122
3,631,2016-07-09,2,11
3,631,2016-07-10,1,118
3,631,2016-07-10,2,28
3,631,2016-07-11,1,112
3,631,2016-07-11,2,20
3,631,2016-07-12,1,120
3,631,2016-07-13,1,135
3,631,2016-07-13,2,15
3,631,2016-07-14,1,147
3,631,2016-07-14,2,1
3,631,2016-07-15,1,119
3,631,2016-07-15,3,1
3,631,2016-07-16,1,121
3,631,2016-07-16,2,26
