arrive_time	item_sku_id	arrive_quantity	int_org_num
2017-01-17	1002996	299	4
2017-01-17	1003105	698	4
2017-01-17	1004474	60	4
2017-01-17	1004475	40	4
2017-01-17	1004501	120	4
2017-01-17	1004540	60	4
2017-01-17	1004545	60	4
2017-01-17	1004564	149	4
2017-01-17	1004607	19	4
2017-01-17	1004608	94	4
2017-01-17	1007054	0	4
2017-01-17	1008580	70	4
2017-01-17	1009130	54	4
2017-01-17	1010272	36	4
2017-01-17	101085	12	4
2017-01-17	1012916	15	4
2017-01-17	1013061	4	4
2017-01-17	1013653	6	4
2017-01-17	1013654	9	4
2017-01-17	1013662	3	4
2017-01-17	1013663	40	4
2017-01-17	1013910	0	4
2017-01-17	1013918	135	4
2017-01-17	1013925	1	4
2017-01-17	1013948	11	4
2017-01-17	1013957	35	4
2017-01-17	1013977	60	4
2017-01-17	1014489	258	4
2017-01-17	1014490	23	4
2017-01-17	1014663	4	4
2017-01-17	1016452	30	4
2017-01-17	1020758451	30	4
2017-01-17	1020759083	18	4
2017-01-17	1020760127	6	4
2017-01-17	1020764129	12	4
2017-01-17	1020765564	120	4
2017-01-17	1020765974	24	4
2017-01-17	1020766340	12	4
2017-01-17	1020771015	36	4
2017-01-17	1020772006	60	4
2017-01-17	1020772543	24	4
2017-01-17	1020772815	12	4
2017-01-17	1020773844	112	4
2017-01-17	1020774502	16	4
2017-01-17	1020775114	16	4
2017-01-17	1021352	5	4
2017-01-17	1022163	1	4
2017-01-17	1024675	6	4
2017-01-17	1025021	20	4
2017-01-17	1025024	12	4
2017-01-18	1000023352	600	4
2017-01-18	1000054	60	4
2017-01-18	1000061	20	4
2017-01-18	1000115	15	4
2017-01-18	1000477	3	4
2017-01-18	1001084511	48	4
2017-01-18	1002677019	0	4
2017-01-18	1002677157	2	4
2017-01-18	1002912	274	4
2017-01-18	1003012	80	4
2017-01-18	1003969	400	4
2017-01-18	1003976081	48	4
2017-01-18	1003987588	120	4
2017-01-18	1003988243	24	4
2017-01-18	1004002779	24	4
2017-01-18	1004002780	64	4
2017-01-18	1004200	30	4
2017-01-18	1006153	5	4
2017-01-18	1006168	0	4
2017-01-18	1006183	60	4
2017-01-18	1006985	21	4
2017-01-18	1007176	3	4
2017-01-18	1007955	135	4
2017-01-18	1007967	38	4
2017-01-18	1007971	162	4
2017-01-18	1007978	45	4
2017-01-18	1008185	2	4
2017-01-18	1008341	49	4
2017-01-18	1008368442	20	4
2017-01-18	1008986	80	4
2017-01-18	1009348	12	4
2017-01-18	1010289	0	4
2017-01-18	1010757	57	4
2017-01-18	1010950708	20	4
2017-01-18	1011477	0	4
2017-01-18	1011478	4	4
2017-01-18	1011480	5	4
2017-01-18	1011481	60	4
2017-01-18	1012143	60	4
2017-01-18	1012752	25	4
2017-01-18	1012769034	0	4
2017-01-18	1013983	30	4
2017-01-18	1014000	5	4
2017-01-18	1015091	20	4
2017-01-18	1015092	100	4
2017-01-18	1016548	5	4
2017-01-18	101666	59	4
2017-01-18	1017131	0	4
2017-01-18	1018412257	5	4
2017-01-18	1019006	30	4
2017-01-18	1020213	90	4
2017-01-18	1021303	60	4
2017-01-18	1021306	0	4
2017-01-18	1021317	150	4
2017-01-18	1021338	0	4
2017-01-18	1021516	150	4
2017-01-18	1022957	600	4
2017-01-18	1022958	800	4
2017-01-18	1022968670	0	4
2017-01-18	1022973871	4	4
2017-01-18	1023914	24	4
2017-01-19	1000240	1	4
2017-01-19	1000527929	120	4
2017-01-19	1000545817	24	4
2017-01-19	1000697	80	4
2017-01-19	1000711	24	4
2017-01-19	1001177	70	4
2017-01-19	1001180	16	4
2017-01-19	1001210	24	4
2017-01-19	1001215	85	4
2017-01-19	1001420	20	4
2017-01-19	1001444173	40	4
2017-01-19	1001444499	0	4
2017-01-19	1001462921	8	4
2017-01-19	1001463012	100	4
2017-01-19	1001892	24	4
2017-01-19	1001900525	5	4
2017-01-19	1002249	88	4
2017-01-19	1002256	80	4
2017-01-19	1002363676	8	4
2017-01-19	1002363954	9	4
2017-01-19	1002364071	200	4
2017-01-19	1002364072	150	4
2017-01-19	1002677019	7	4
2017-01-19	1002677157	3	4
2017-01-19	1003031	10	4
2017-01-19	1003062	20	4
2017-01-19	1003263590	2	4
2017-01-19	1003263879	6	4
2017-01-19	1003590304	9	4
2017-01-19	1003832	10	4
2017-01-19	1003834	20	4
2017-01-19	1003837	40	4
2017-01-19	1003848	10	4
2017-01-19	1003851	20	4
2017-01-19	1004234	20	4
2017-01-19	1005116	24	4
2017-01-19	1005316718	10	4
2017-01-19	100597	50	4
2017-01-19	1005998	8	4
2017-01-19	1006163	5	4
2017-01-19	1006985	30	4
2017-01-19	1009724	35	4
2017-01-19	1009736	804	4
2017-01-19	1009742	26	4
2017-01-19	1009750	456	4
2017-01-19	1009752	252	4
2017-01-19	1009816	80	4
2017-01-19	1010779	20	4
2017-01-19	1010830	12	4
2017-01-19	1011054	64	4
2017-01-19	1012520	728	4
2017-01-19	1012563	9	4
2017-01-19	1012769034	10	4
2017-01-19	1013975	6	4
2017-01-19	1013979	120	4
2017-01-19	1014651	144	4
2017-01-19	1014663	3	4
2017-01-19	1015242	60	4
2017-01-19	1015309237	28	4
2017-01-19	101609	17	4
2017-01-19	101610	34	4
2017-01-19	101613	54	4
2017-01-19	1016452	60	4
2017-01-19	1016985	450	4
2017-01-19	101709	36	4
2017-01-19	1017934	25	4
2017-01-19	1018412257	15	4
2017-01-19	1018461	80	4
2017-01-19	1018797	25	4
2017-01-19	1018856	12	4
2017-01-19	1019066454	15	4
2017-01-19	1019066455	8	4
2017-01-19	1019305	440	4
2017-01-19	1020541924	105	4
2017-01-19	1021270	32	4
2017-01-19	1021275	32	4
2017-01-19	1021584	4	4
2017-01-19	1021590	1	4
2017-01-19	1021591	2	4
2017-01-19	1021680	1	4
2017-01-19	1021733	1	4
2017-01-19	1021756	1	4
2017-01-19	1021941162	0	4
2017-01-19	1022099	10	4
2017-01-19	1022100	30	4
2017-01-19	1022163	4	4
2017-01-19	1022968670	10	4
2017-01-19	1022973871	16	4
2017-01-19	1023496	0	4
2017-01-19	1023728	20	4
2017-01-19	1023878	348	4
2017-01-19	1023880	58	4
2017-01-19	1023890	161	4
2017-01-19	1023897	36	4
2017-01-19	1023946	10	4
2017-01-19	1024134	133	4
2017-01-19	1024204	0	4
2017-01-19	1024209	80	4
2017-01-19	1024623	288	4
2017-01-19	1024624	24	4
2017-01-19	1024646	37	4
2017-01-19	1025548	6	4
2017-01-19	1025558	0	4
2017-01-20	1000055734	150	4
2017-01-20	1000431	100	4
2017-01-20	1000459	370	4
2017-01-20	1000467	400	4
2017-01-20	1000468	60	4
2017-01-20	100077	10	4
2017-01-20	1001131255	200	4
2017-01-20	1001131272	99	4
2017-01-20	1001131322	100	4
2017-01-20	1002065	30	4
2017-01-20	1002282	60	4
2017-01-20	1002664	0	4
2017-01-20	1002687	2	4
2017-01-20	1002852	10	4
2017-01-20	1002898	2	4
2017-01-20	1003012	40	4
2017-01-20	100470	30	4
2017-01-20	1005116	12	4
2017-01-20	1007358	30	4
2017-01-20	1009745	70	4
2017-01-20	1009758	30	4
2017-01-20	1009766	110	4
2017-01-20	1010721	10	4
2017-01-20	1010798	22	4
2017-01-20	1012505	2	4
2017-01-20	1012849	75	4
2017-01-20	1016422	39	4
2017-01-20	1016424	2	4
2017-01-20	1016834	2	4
2017-01-20	1018797	40	4
2017-01-20	1019916	10	4
2017-01-20	1020211	0	4
2017-01-20	1020616	10	4
2017-01-20	1020732	0	4
2017-01-20	1020734	20	4
2017-01-20	1021066	60	4
2017-01-20	1021067	48	4
2017-01-20	1021894	350	4
2017-01-20	1021901	400	4
2017-01-20	1024490	133	4
2017-01-20	1024659	20	4
2017-01-20	1025519	80	4
2017-01-21	1001268	54	4
2017-01-21	1001372	252	4
2017-01-21	1002330576	24	4
2017-01-21	1002331582	24	4
2017-01-21	1002421	4	4
