sku_id	dc_id	order_date	total_sales	sales_as_gift	sales_for_free	big_order_sales	special_order_sales	order_qtty	dt
1000517884	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1000517884	4	2017-02-27	1	0	0	0	0	1	2017-02-27
1000517884	4	2017-03-20	1	0	0	0	0	1	2017-03-20
1000598458	4	2017-03-19	1	0	0	0	0	1	2017-03-19
1000598458	4	2017-03-11	1	0	0	0	0	1	2017-03-11
1000598458	4	2017-03-06	3	0	0	0	0	2	2017-03-06
1000598458	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1000598458	4	2017-03-14	1	0	0	0	0	1	2017-03-14
1000598458	4	2017-02-24	2	0	0	0	0	1	2017-02-24
1000598458	4	2017-02-20	3	0	0	0	0	1	2017-02-20
1000602850	4	2017-03-09	2	0	0	0	0	2	2017-03-09
1000602850	4	2017-03-19	5	0	0	0	0	5	2017-03-19
1000602850	4	2017-03-05	2	0	0	0	0	2	2017-03-05
1000602850	4	2017-03-18	2	0	0	0	0	2	2017-03-18
1000602850	4	2017-02-21	1	0	0	0	0	1	2017-02-21
1000602850	4	2017-03-15	2	0	0	0	0	2	2017-03-15
1000602850	4	2017-03-06	3	0	0	0	0	3	2017-03-06
1000602850	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1000602850	4	2017-03-17	4	0	0	0	0	4	2017-03-17
1000602850	4	2017-03-11	5	0	0	0	0	5	2017-03-11
1000602850	4	2017-03-03	6	0	0	0	0	6	2017-03-03
1000602850	4	2017-02-26	2	0	0	0	0	1	2017-02-26
1000602850	4	2017-03-07	4	0	0	0	0	3	2017-03-07
1000602850	4	2017-03-12	1	0	0	0	0	1	2017-03-12
1000602850	4	2017-03-16	4	0	0	0	0	4	2017-03-16
1000602850	4	2017-03-20	1	0	0	0	0	1	2017-03-20
1000602850	4	2017-02-22	2	0	0	0	0	1	2017-02-22
1000602850	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1000602850	4	2017-02-27	1	0	0	0	0	1	2017-02-27
1000602850	4	2017-03-10	1	0	0	0	0	1	2017-03-10
1000602850	4	2017-02-23	2	0	0	0	0	2	2017-02-23
1000602850	4	2017-02-28	2	0	0	0	0	2	2017-02-28
1000602850	4	2017-03-08	5	0	0	0	0	4	2017-03-08
1000602850	4	2017-03-14	4	0	0	0	0	4	2017-03-14
1000602850	4	2017-02-24	4	0	0	0	0	3	2017-02-24
1000602850	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1000602850	4	2017-03-04	6	0	0	0	0	4	2017-03-04
1000602850	4	2017-02-20	4	0	0	0	0	1	2017-02-20
1000609	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1000609	4	2017-03-03	5	0	0	0	0	5	2017-03-03
1000609	4	2017-02-27	8	0	0	0	0	5	2017-02-27
1000609	4	2017-03-12	2	0	0	0	0	2	2017-03-12
1000609	4	2017-02-26	3	0	0	0	0	3	2017-02-26
1000609	4	2017-02-19	2	0	0	0	0	2	2017-02-19
1000609	4	2017-03-09	1	0	0	0	1	1	2017-03-09
1000609	4	2017-03-14	3	0	0	0	0	3	2017-03-14
1000609	4	2017-02-28	3	0	0	0	0	3	2017-02-28
1000609	4	2017-03-13	2	0	0	0	0	2	2017-03-13
1000609	4	2017-03-07	3	0	0	0	0	3	2017-03-07
1000609	4	2017-03-19	2	0	0	0	0	1	2017-03-19
1000609	4	2017-03-02	2	0	0	0	0	2	2017-03-02
1000609	4	2017-03-05	1	0	0	0	0	1	2017-03-05
1000609	4	2017-02-23	3	0	0	0	0	2	2017-02-23
1000609	4	2017-02-24	3	0	0	0	0	3	2017-02-24
1000609	4	2017-03-17	9	0	0	0	0	4	2017-03-17
