date,rdc,order_id,item_sku_id,arrive_quantity
2016/10/29,682,19780596,1628270,1
2016/10/29,682,20205898,1698000,4
2016/10/29,682,14267913,1934726,27
2016/10/29,682,16185473,1946147,8
2016/10/29,682,20205899,1966776,4
2016/10/29,682,14267913,2012892,2
2016/10/29,682,14267913,2053563,15
2016/10/29,682,16185473,2057415,4
2016/10/29,682,13890446,2112521,0
2016/10/29,682,20205899,2712060,2
2016/10/29,682,13970990,2729251,1400
2016/10/29,682,14267913,2744515,4
2016/10/29,682,14339318,2755333,12
2016/10/29,682,13731423,2911447,16
2016/10/29,682,20095291,3182437,20
2016/10/30,682,18783054,3765058,5
2016/11/4,682,16359500,3928032,10
2016/11/4,682,17081492,3646866,3
2016/11/4,682,15844563,3646992,5
2016/11/4,682,16619395,3647018,10
2016/11/4,682,18887877,3648080,10
2016/11/4,682,18721103,3648116,5
2016/11/4,682,19337496,3648242,1
2016/11/4,682,19434816,3648404,9
2016/11/4,682,18398557,3648530,5
2016/11/4,682,13833623,3648648,30
2016/11/4,682,15983538,3648936,5
2016/11/4,682,13973004,3649502,2
2016/11/4,682,18527714,3650050,6
2016/11/4,682,16683461,3650456,96
2016/11/4,682,19157360,3650500,90
2016/11/4,682,15983537,3650582,6
2016/11/4,682,13973004,3650618,2
2016/11/4,682,18527714,3650870,10
2016/11/4,682,17377038,3650988,3
2016/11/4,682,16044056,3651022,72
2016/11/4,682,18431686,3651392,32
2016/11/4,682,13864045,3651428,16
2016/11/4,682,18023123,3651554,28
2016/11/4,682,19532309,3652364,22
2016/11/4,682,16317141,3652896,210
2016/11/4,682,14668375,3653336,200
2016/11/4,682,15716875,3653624,1380
2016/11/4,682,19219907,3653868,30
2016/11/4,682,13816128,3653994,100
2016/11/4,682,14822973,3654272,100
2016/11/4,682,18033602,3654678,40
2016/11/4,682,18777094,3654966,120
2016/11/4,682,17508958,3655000,30
2016/11/4,682,17732981,3655082,2
2016/11/4,682,15780758,3655118,0
2016/11/4,682,16334270,3655244,7
2016/11/4,682,19434384,3655406,2
2016/11/4,682,14699788,3655488,20
2016/11/4,682,15480556,3655776,36
2016/11/4,682,14661410,3655938,25
2016/11/4,682,18965388,3656054,5
2016/11/4,682,18573077,3656180,50
2016/11/4,682,17778745,3656298,0
2016/11/4,682,20392312,3657026,10
2016/11/4,682,14636036,3657602,10
2016/11/4,682,20487299,3657846,17
2016/11/4,682,19202899,3657972,0
2016/11/4,682,19386254,3658124,69
2016/11/4,682,14431537,3658368,60
2016/11/4,682,18127141,3658656,12
2016/11/4,682,19609911,3658700,18
2016/11/4,682,16984635,3659592,500
2016/11/4,682,13953303,3659628,100
2016/11/4,682,15651153,3660338,100
2016/11/4,682,20342475,3660464,680
2016/11/4,682,18918080,3660996,20
2016/11/4,682,15611557,3661030,2
2016/11/4,682,14760579,3661436,19
2016/11/4,682,16092937,3661724,2160
2016/11/4,682,18440024,3661850,312
2016/11/4,682,14476561,3661968,36
2016/11/4,682,17246113,3662002,9
2016/11/4,682,20378606,3662084,6
2016/11/4,682,13944794,3662246,3
2016/11/4,682,14511724,3662408,55
2016/11/4,682,14318975,3662534,20
2016/11/4,682,15261377,3663218,20
2016/11/4,682,19411397,3663344,10
2016/11/4,682,15342617,3663470,4
2016/11/4,682,13862683,3663588,0
2016/11/4,682,16793982,3663632,2
2016/11/4,682,17147795,3663876,69
2016/11/4,682,19972360,3664028,120
2016/11/4,682,13946541,3664154,25
2016/11/4,682,13867246,3664280,25
2016/11/4,682,15476834,3664604,24
2016/11/4,682,17685265,3664686,48
2016/11/4,682,19275334,3665702,0
2016/11/4,682,15880179,3665946,4
2016/11/4,682,19903324,3666062,2
2016/11/4,682,19998912,3669636,3
2016/11/4,682,16561976,3669762,2
2016/11/4,682,17773953,3670346,2
2016/11/4,682,14581971,3670472,3
2016/11/4,682,17502789,3670634,3
2016/11/4,682,18040880,3671570,1
2016/11/4,682,14844968,3672416,6
2016/11/4,682,13923519,3672498,50
2016/11/4,682,16397580,3673064,50
2016/11/4,682,17995023,3673190,158
2016/11/4,682,19527406,3673352,0
2016/11/4,682,14134317,3673596,8
2016/11/4,682,19342196,3673802,41
2016/11/4,682,14056657,3674036,2
2016/11/4,682,16291618,3674450,6
2016/11/4,682,14872252,3674856,24
2016/11/4,682,13830449,3674900,2
2016/11/4,682,14560264,3675134,10
2016/11/4,682,20190186,3675260,1
2016/11/4,682,17231009,3675378,2
2016/11/4,682,18967088,3675422,2
2016/11/4,682,17426524,3675792,6
2016/11/4,682,19468521,3675954,6
2016/11/4,682,16688918,3676188,10
2016/11/4,682,15338518,3676764,1
2016/11/4,682,14056638,3676890,7
2016/11/4,682,17963392,3677736,11
2016/11/4,682,14642195,3677862,0
2016/11/4,682,16212592,3678546,0
2016/11/4,682,16801885,3679068,30
2016/11/4,682,17967569,3679194,10
2016/11/4,682,16101582,3680110,8
2016/11/4,682,18724370,3680354,1
2016/11/4,682,19431703,3680480,1
2016/11/4,682,18652621,3680516,4
2016/11/4,682,15294416,3680642,2
2016/11/4,682,14529447,3681038,20
2016/11/4,682,15923172,3681290,8
2016/11/4,682,15394471,3681326,10
2016/11/4,682,15582344,3682550,600
2016/11/4,682,17887065,3684170,834
2016/11/4,682,14725052,3685386,1080
2016/11/4,682,19708002,3685548,16
2016/11/4,682,14559356,3685674,10
2016/11/4,682,17282654,3685962,20
2016/11/4,682,14197282,3686114,20
2016/11/4,682,14574668,3686196,288
2016/11/4,682,19285777,3686240,24
2016/11/4,682,18211170,3686484,6
2016/11/4,682,16334486,3686772,260
2016/11/4,682,18422229,3686808,2
2016/11/4,682,14492983,3687050,10
2016/11/4,682,16750115,3687294,10
2016/11/4,682,18827328,3687456,2
2016/11/4,682,15032132,3687582,3504
2016/11/4,682,14760625,3687618,500
2016/11/4,682,15929031,3687744,13800
2016/11/4,682,18237342,3688428,5000
2016/11/4,682,16963288,3688554,298
2016/11/4,682,15546507,3688680,1500
2016/11/4,682,16137830,3688716,2250
2016/11/4,682,17817133,3688798,3000
2016/11/4,682,20257931,3688842,5000
2016/11/4,682,16035187,3689238,132
2016/11/4,682,18412989,3689652,600
2016/11/4,682,14036843,3689814,14
2016/11/4,682,16214345,3689896,144
2016/11/4,682,17534118,3689940,625
2016/11/4,682,15954796,3690074,0
2016/11/4,682,17520715,3690236,1
2016/11/4,682,18069189,3690362,16
2016/11/4,682,14561536,3690650,10
2016/11/4,682,15506399,3691046,3
2016/11/4,682,17319894,3691172,23
2016/11/4,682,14963477,3691334,5
2016/11/4,682,15051334,3691578,12
2016/11/4,682,16770060,3691866,4
2016/11/4,682,18201504,3691992,40
2016/11/4,682,15082806,3692018,2
2016/11/4,682,15653259,3692720,84
2016/11/4,682,18495352,3693404,39
2016/11/4,682,16586651,3694340,9
2016/11/4,682,16285227,3695682,1
2016/11/4,682,16746451,3696780,50
2016/11/4,682,17905748,3696816,105
2016/11/4,682,15806827,3699084,5
2016/11/4,682,15777359,3699822,5
2016/11/4,682,16337295,3700342,36
2016/11/4,682,16473799,3700874,64
2016/11/4,682,18073935,3701026,20
