actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
1.0,1.0,24.0,D,2016-08-22 00:00:00,2020509,24.0,24.0,18577608.0,shbssmyx,上海炳顺商贸有限公司,13
1.0,1.0,29.0,D,2016-09-05 00:00:00,2020509,29.0,29.0,18991072.0,shbssmyx,上海炳顺商贸有限公司,13
1.0,1.0,26.0,D,2016-10-08 00:00:00,2020509,26.0,26.0,19922373.0,shbssmyx,上海炳顺商贸有限公司,13
0.0,0.0,0.0,D,2016-10-12 00:00:00,2020509,22.0,22.0,20105512.0,shbssmyx,上海炳顺商贸有限公司,15
0.45283018867924529,0.45283018867924529,24.0,D,2016-10-18 00:00:00,2020509,53.0,53.0,20337546.0,shbssmyx,上海炳顺商贸有限公司,20
1.0,1.0,30.0,E,2016-08-29 00:00:00,2020606,30.0,30.0,18788790.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,14.0,E,2016-09-12 00:00:00,2020606,14.0,14.0,19216383.0,gzxmcmy,广州美厨智能家居科技股份有限公司,11
0.0,,0.0,L,2016-07-19 00:00:00,2035035,1.0,0.0,17706669.0,bjhxcs,北京宏祥昌盛文化发展有限公司,13
0.0,,0.0,L,2016-08-02 00:00:00,2035035,4.0,0.0,18032911.0,bjhxcs,北京宏祥昌盛文化发展有限公司,9
0.9642857142857143,0.9642857142857143,27.0,L,2016-09-05 00:00:00,2035035,28.0,28.0,18991208.0,bjhxcs,北京宏祥昌盛文化发展有限公司,7
1.0,1.0,28.0,L,2016-09-29 00:00:00,2035035,28.0,28.0,19768294.0,bjhxcs,北京宏祥昌盛文化发展有限公司,14
1.0,1.0,16.0,L,2016-10-12 00:00:00,2035035,16.0,16.0,20105101.0,bjhxcs,北京宏祥昌盛文化发展有限公司,13
1.0,1.0,70.0,L,2016-10-18 00:00:00,2035035,70.0,70.0,20336940.0,bjhxcs,北京宏祥昌盛文化发展有限公司,7
0.0,,0.0,L,2016-07-13 00:00:00,2035064,2.0,0.0,17558274.0,bjhxcs,北京宏祥昌盛文化发展有限公司,11
0.0,,0.0,L,2016-07-19 00:00:00,2035064,1.0,0.0,17706669.0,bjhxcs,北京宏祥昌盛文化发展有限公司,13
1.0,1.0,16.0,L,2016-09-05 00:00:00,2035064,16.0,16.0,18991208.0,bjhxcs,北京宏祥昌盛文化发展有限公司,7
0.0,0.0,0.0,L,2016-10-08 00:00:00,2035064,9.0,9.0,19922472.0,bjhxcs,北京宏祥昌盛文化发展有限公司,4
1.0,1.0,13.0,L,2016-10-12 00:00:00,2035064,13.0,13.0,20105101.0,bjhxcs,北京宏祥昌盛文化发展有限公司,13
1.0,1.0,6.0,L,2016-10-18 00:00:00,2035064,6.0,6.0,20336940.0,bjhxcs,北京宏祥昌盛文化发展有限公司,7
1.0,1.0,2.0,Z,2016-08-15 00:00:00,2048647,2.0,2.0,18401216.0,dongfangmeirui,北京东方美睿科贸有限公司,6
1.0,1.0,4.0,Z,2016-08-22 00:00:00,2048647,4.0,4.0,18597100.0,dongfangmeirui,北京东方美睿科贸有限公司,5
1.0,1.0,3.0,Z,2016-09-06 00:00:00,2048647,3.0,3.0,19002894.0,dongfangmeirui,北京东方美睿科贸有限公司,8
1.0,1.0,2.0,Z,2016-09-12 00:00:00,2048647,2.0,2.0,19225057.0,dongfangmeirui,北京东方美睿科贸有限公司,5
