arrive_time,item_sku_id,arrive_quantity,rdc_id
\N,11334863,0,316
\N,11337308,0,316
\N,11349107,4,316
\N,1135617,48,316
\N,11361558,1,316
\N,11371982,0,316
\N,11394742,6,316
\N,11401398,0,316
\N,11407220,1,316
\N,11419472,0,316
\N,11430369,1,316
\N,11448202,0,316
\N,11448550,0,316
\N,11457525,15,316
\N,11460044,1,316
\N,1146391964,5,316
\N,11476083,3,316
\N,11476103,3,316
\N,11486844,1,316
\N,11496077,2,316
\N,11497332,0,316
\N,1150600898,12,316
\N,11525741,3,316
\N,11526916,5,316
\N,11544848,1,316
\N,11570263,0,316
\N,11570948,5,316
\N,11577055,0,316
\N,11593659,0,316
\N,11598255,0,316
\N,11600290,1,316
\N,11643943,0,316
\N,11646368,1,316
\N,11648006,1,316
\N,11648461,0,316
\N,11648595,1,316
\N,1165299,2000,316
\N,11653622,7,316
\N,11655769,0,316
\N,11667994,2,316
\N,11669632,0,316
\N,11669688,0,316
\N,11673645,0,316
\N,11675602,1,316
\N,11676014,3,316
\N,11677615,0,316
\N,11679445,0,316
\N,11681204,0,316
\N,11681233,0,316
\N,11682573,0,316
\N,11692406,0,316
\N,11692493,1,316
\N,11697029,5,316
\N,11701367,0,316
\N,11701552,1,316
\N,11702544,1,316
\N,11703699,0,316
\N,11704026,40,316
\N,11704769,1,316
\N,11715788,0,316
\N,11721468,0,316
\N,11723559,0,316
\N,11723561,1,316
\N,11723588,0,316
\N,11723590,0,316
\N,11729678,0,316
\N,11740916,0,316
\N,11741281,0,316
\N,11744837,0,316
\N,11746986,0,316
\N,1174723058,12,316
\N,11750943,0,316
\N,11752590,0,316
\N,11753950,1,316
\N,11754304,0,316
\N,11755856,0,316
\N,11764726,2,316
\N,11770040,2,316
\N,11771929,12,316
\N,11772419,5,316
\N,11773016,15,316
\N,11776980,0,316
\N,11777914,0,316
\N,11779454,0,316
\N,11782921,0,316
\N,11783391,2,316
\N,11784383,0,316
\N,11792020,0,316
\N,11792259,29,316
\N,11798273,1,316
\N,1180112,15,316
\N,11802736,0,316
\N,11803679,3,316
\N,11803806,1,316
\N,11805134,1,316
\N,11823463,1,316
\N,11824504,0,316
\N,11825844,0,316
\N,11827935,1,316
\N,11839261,0,316
\N,11841685,0,316
\N,11857298,0,316
\N,11857318,0,316
\N,11858080,0,316
\N,11861391,1,316
\N,11870290,4,316
\N,11870551,1,316
\N,11871755,0,316
\N,11873797,0,316
\N,11873817,0,316
\N,11885277,44,316
\N,11888835,0,316
\N,11891827,0,316
\N,11892163,0,316
\N,11903525,3,316
\N,11905830,0,316
\N,11917897,0,316
\N,11919245,20,316
\N,11919323,30,316
\N,11919379,30,316
\N,11919381,20,316
\N,11919457,196,316
\N,11919613,120,316
\N,11919642,1,316
\N,11919903,16,316
\N,11919961,30,316
\N,11930278,0,316
\N,11930675,1,316
\N,11931426,0,316
\N,11931562,0,316
\N,11933894,30,316
\N,11933914,20,316
\N,11933972,70,316
\N,11934036,30,316
\N,11934094,10,316
\N,11934114,16,316
\N,11934172,10,316
\N,11934326,16,316
\N,11934355,0,316
\N,11934596,326,316
\N,11935001,3,316
