sku_id,open_po_fdc,inv_fdc,date_s,dc_id
1059433,0,0,2016-10-01,628
1059983,0,4,2016-10-01,628
1060071,0,2,2016-10-01,628
1062051,0,0,2016-10-01,628
1063140,0,6,2016-10-01,628
1064185,0,0,2016-10-01,628
1065120,0,0,2016-10-01,628
1066363,0,0,2016-10-01,628
1068046,0,0,2016-10-01,628
1068145,0,0,2016-10-01,628
1068398,0,0,2016-10-01,628
1068442,3,0,2016-10-01,628
1068794,0,0,2016-10-01,628
1069289,0,2,2016-10-01,628
1069487,0,2,2016-10-01,628
1069531,0,0,2016-10-01,628
1069982,0,0,2016-10-01,628
1071060,0,0,2016-10-01,628
1072050,0,0,2016-10-01,628
1073491,0,1,2016-10-01,628
1073590,0,0,2016-10-01,628
1075174,0,1,2016-10-01,628
1076010,0,4,2016-10-01,628
1076065,0,0,2016-10-01,628
1077055,0,0,2016-10-01,628
1078144,0,6,2016-10-01,628
1078694,0,1,2016-10-01,628
1078892,0,0,2016-10-01,628
1083193,0,0,2016-10-01,628
1084183,0,0,2016-10-01,628
1085173,0,0,2016-10-01,628
1086064,0,0,2016-10-01,628
1086163,0,0,2016-10-01,628
1086262,0,0,2016-10-01,628
1086460,0,0,2016-10-01,628
1088099,0,0,2016-10-01,628
1089232,0,0,2016-10-01,628
1089331,0,0,2016-10-01,628
1096360,0,0,2016-10-01,628
1098340,0,0,2016-10-01,628
1098395,0,0,2016-10-01,628
1099484,0,0,2016-10-01,628
1100463,0,-1,2016-10-01,628
1101255,0,9,2016-10-01,628
1101750,0,5,2016-10-01,628
1102146,0,0,2016-10-01,628
1102344,0,0,2016-10-01,628
1102542,0,0,2016-10-01,628
1102740,0,0,2016-10-01,628
1103334,0,0,2016-10-01,628
1103631,0,0,2016-10-01,628
1104720,0,0,2016-10-01,628
1104874,0,0,2016-10-01,628
1104973,0,0,2016-10-01,628
1105017,0,0,2016-10-01,628
1105413,0,0,2016-10-01,628
1106007,0,0,2016-10-01,628
1106502,0,0,2016-10-01,628
1108933,0,0,2016-10-01,628
1109626,0,0,2016-10-01,628
1109879,0,0,2016-10-01,628
1110165,0,5,2016-10-01,628
1111353,0,0,2016-10-01,628
1111551,0,0,2016-10-01,628
1113883,0,1,2016-10-01,628
1114026,0,0,2016-10-01,628
1114125,0,0,2016-10-01,628
1115467,0,2,2016-10-01,628
1115511,0,6,2016-10-01,628
1115610,0,6,2016-10-01,628
1116457,0,0,2016-10-01,628
1117546,0,0,2016-10-01,628
1117997,0,7,2016-10-01,628
1119328,0,0,2016-10-01,628
1121154,0,2,2016-10-01,628
1121451,0,0,2016-10-01,628
1123035,0,3,2016-10-01,628
1123288,0,1,2016-10-01,628
1123431,0,0,2016-10-01,628
1123530,0,0,2016-10-01,628
1123684,0,0,2016-10-01,628
1124421,0,0,2016-10-01,628
1124773,0,0,2016-10-01,628
1129228,0,0,2016-10-01,628
1129679,0,0,2016-10-01,628
1129778,0,0,2016-10-01,628
1130361,0,11,2016-10-01,628
1132440,0,2,2016-10-01,628
1132594,0,0,2016-10-01,628
1132693,0,2,2016-10-01,628
1133034,0,0,2016-10-01,628
1133089,0,0,2016-10-01,628
1133430,0,0,2016-10-01,628
1133485,0,7,2016-10-01,628
1133782,0,0,2016-10-01,628
1134178,0,0,2016-10-01,628
1135267,0,0,2016-10-01,628
1135663,0,0,2016-10-01,628
